id,text,sentiment
N1,I've had an IPhone for like 3 years and I've never done that  :( hate ma life,1
N2,I dont need the new iphone but I want it :(,1
N3,fuck the iPhone 6s cus I'm not getting one :(,1
N4,Hopefully will be able to get my iPhone 6s today :(Plane gets in at like 11:30 :/,1
N5,@clydesdalebank I've just bought a new iPhone and I can't use Apple Pay because you don't support it. When will I get to use it? :(,1
N6,The new iphone is out today but mine doesn't come til next week :( &lt;/3,1
N7,Also have to work an iPhone launch at t-mobile :(,1
N8,@O2 I ended up ringin in my break.. i ordered iphone 6s which in now coming to me on Monday and not today :( bit gutted but fingers crossed,1
N9,@reviewero iPhone 5 was the best iPhone ever. And this makes me feel so nostalgic. :(,1
N10,@mitsuhiko scared to update to iOS9 as i don't know what that means for my iTunes match subscription :(,1
N11,There is a high chance that I will not have my iPhone when I get home :( I think I missed the delivery...,1
N12,@JohnLegere . Why is the inventory of iPhone 6sPlus 128GB Rose Gold already out of stock. I was at a corporate store by 8 am. :(,1
N13,need my iphone back lol i can't fade this phone :(,1
N14,"Everyone talking about iPhone day, Im studying for an exam :(",1
N15,"@3minutegames Upgraded to iPhone 6s today, restored from backup... lost all progress in the Lifeline games :(",1
N16,@sprintnews so mad i didn't know direct 2 u was an option for iphone pre ordering!!!! :( next time!! im in Bmore :) BEST service ever.,1
N17,@EE this is my wife's phone. I'm stuck with no o2 service until next years iPhone :(,1
N18,Grrrrrrr Got the new iPhone but it won't connect to my work (and only) wifi :(,1
N19,Wish I'd just waited a few months and got the iPhone 6s instead of the 6 :( :( :(,1
N20,"@PolarGlobal Polar Beat still doesn't work with Polar H6 on iOS9, please help me to fix it! Disappointed :(",1
N21,"I want Iphone 6s :(
https://t.co/lv6Ml03If6",1
N22,@katoi It wasn't even for an iPhone! :( and I never got my order as he simply took a picture of my office building and left!,1
N23,@flinto  I have problems with scrolling through the flinto prototype on my iPhone 6 :( anyone has same problems? #flinto How to fix it?,1
N24,Woke up really early to get in line for the iphone 6s and theres only one person here :(,1
N25,Annoyed Apple haven't let me set a parcel drop-off place for iPhone release so delivery failed. Daft they don't allow it for pre-orders. :(,1
N26,"@tim_cook can you PLEASE consider more options for (black) iPhone 7?! There's like 3 white iPhones, and only 1 black iPhone right now. :(",1
N27,Sick today :( However I get the new iPhone 6s!!!,1
N28,c trop cool sur iPhone idk :(,1
N29,My iPhone is sticky :(,1
